x,y,z
0.116,-0.013,0.063
0.371,-0.023,0.058
0.634,0.037,0.061
0.908,0.113,0.064
1.158,0.153,0.064
1.418,0.224,0.052
1.668,0.267,0.068
1.920,0.304,0.060
2.177,0.371,0.070
2.424,0.426,0.072
2.672,0.496,0.077
2.940,0.528,0.054
3.209,0.549,0.043
3.460,0.538,0.033
3.709,0.564,0.034
3.992,0.542,0.025
4.253,0.517,0.047
4.526,0.534,0.055
4.805,0.531,0.076
5.079,0.551,0.057
5.334,0.559,0.069
5.639,0.574,0.068
5.932,0.561,0.061
6.193,0.565,0.070
6.451,0.557,0.054
6.741,0.578,0.050
7.003,0.568,0.060
7.259,0.576,0.046
7.556,0.596,0.044
7.819,0.593,0.046
8.087,0.600,0.050
8.344,0.592,0.045
8.601,0.588,0.059
8.883,0.575,0.060
9.178,0.571,0.061
9.476,0.593,0.066
9.769,0.621,0.070
10.071,0.599,0.065
10.354,0.598,0.066
10.672,0.588,0.081
10.961,0.607,0.076
11.215,0.649,0.076
11.469,0.658,0.078
11.759,0.666,0.085
12.044,0.667,0.103
12.337,0.652,0.106
12.607,0.623,0.100
12.862,0.621,0.088
13.128,0.619,0.091
13.415,0.647,0.090
13.693,0.677,0.114
13.953,0.707,0.106
14.219,0.723,0.099
14.498,0.718,0.107
14.762,0.738,0.107
15.020,0.734,0.087
15.284,0.748,0.078
15.574,0.754,0.090
15.845,0.760,0.081
16.115,0.732,0.100
16.391,0.740,0.102
16.669,0.766,0.108
16.935,0.801,0.108
17.238,0.784,0.111
17.549,0.825,0.109
17.844,0.792,0.116
18.102,0.741,0.091
18.375,0.738,0.112
18.675,0.687,0.139
18.933,0.672,0.133
19.218,0.689,0.139
19.496,0.678,0.142
19.793,0.650,0.160
20.079,0.642,0.152
20.345,0.633,0.163
20.611,0.622,0.169
20.887,0.621,0.143
21.143,0.630,0.125
21.425,0.626,0.145
21.716,0.595,0.166
22.027,0.576,0.182
22.289,0.550,0.185
22.588,0.540,0.145
22.873,0.551,0.160
23.183,0.550,0.162
23.455,0.538,0.154
23.736,0.526,0.168
24.012,0.532,0.161
24.279,0.542,0.165
24.579,0.545,0.162
24.841,0.558,0.154
25.110,0.503,0.171
25.366,0.471,0.159
25.620,0.458,0.171
25.892,0.447,0.180
26.158,0.410,0.177
26.418,0.354,0.176
26.712,0.316,0.183
26.973,0.297,0.174
27.284,0.273,0.188
27.553,0.247,0.182
27.832,0.219,0.175
28.089,0.182,0.191
28.361,0.147,0.190
28.649,0.145,0.190
28.916,0.135,0.192
29.183,0.125,0.191
29.493,0.105,0.203
29.790,0.089,0.218
30.082,0.089,0.226
30.372,0.061,0.239
30.660,0.056,0.241
30.947,0.036,0.240
31.261,0.015,0.234
31.520,0.055,0.238
31.822,0.025,0.246
32.092,0.055,0.233
32.369,0.044,0.246
32.655,0.041,0.246
32.947,0.045,0.249
33.198,0.061,0.248
33.518,0.070,0.265
33.829,0.071,0.260
34.103,0.088,0.266
34.417,0.122,0.265
34.724,0.180,0.271
35.002,0.262,0.266
35.267,0.387,0.251
35.512,0.555,0.258
35.749,0.732,0.246
35.973,0.935,0.249
36.194,1.155,0.240
36.404,1.377,0.264
36.585,1.619,0.241
36.732,1.862,0.250
36.856,2.102,0.234
36.962,2.344,0.240
37.054,2.589,0.246
37.167,2.854,0.253
37.243,3.119,0.265
37.311,3.376,0.278
37.364,3.621,0.261
37.381,3.872,0.247
37.397,4.123,0.256
37.414,4.410,0.252
37.402,4.724,0.269
37.378,4.989,0.283
37.364,5.254,0.263
37.355,5.510,0.271
37.353,5.792,0.265
37.354,6.047,0.280
37.342,6.316,0.298
37.334,6.616,0.302
37.335,6.912,0.283
37.329,7.180,0.302
37.315,7.436,0.304
37.297,7.719,0.289
37.288,7.983,0.302
37.283,8.281,0.307
37.279,8.533,0.314
37.313,8.834,0.326
37.322,9.129,0.314
37.326,9.406,0.316
37.329,9.684,0.340
37.331,9.981,0.324
37.339,10.239,0.323
37.347,10.496,0.310
37.366,10.758,0.304
37.396,11.027,0.304
37.424,11.288,0.308
37.443,11.538,0.322
37.477,11.786,0.300
37.495,12.088,0.312
37.505,12.346,0.318
37.522,12.604,0.313
37.553,12.916,0.299
37.585,13.168,0.321
37.597,13.461,0.317
37.601,13.774,0.313
37.607,14.071,0.323
37.650,14.341,0.344
37.672,14.632,0.342
37.686,14.899,0.325
37.694,15.150,0.340
37.717,15.434,0.331
37.732,15.729,0.313
37.725,16.010,0.322
37.732,16.317,0.322
37.740,16.618,0.334
37.746,16.907,0.336
37.739,17.194,0.325
37.746,17.491,0.327
37.749,17.769,0.336
37.763,18.047,0.340
37.787,18.296,0.345
37.784,18.604,0.363
37.786,18.904,0.348
37.794,19.160,0.343
37.786,19.432,0.340
37.795,19.720,0.365
37.797,19.993,0.345
37.777,20.261,0.341
37.746,20.560,0.345
37.746,20.841,0.341
37.733,21.109,0.346
37.714,21.371,0.338
37.726,21.662,0.336
37.737,21.927,0.337
37.728,22.211,0.346
37.753,22.467,0.334
37.764,22.741,0.341
37.773,23.012,0.327
37.775,23.297,0.342
37.802,23.556,0.359
37.817,23.864,0.345
37.824,24.131,0.381
37.826,24.405,0.369
37.837,24.691,0.370
37.855,24.975,0.370
37.868,25.259,0.362
37.872,25.542,0.348
37.883,25.835,0.357
37.874,26.114,0.355
37.890,26.427,0.347
37.889,26.736,0.351
37.927,27.043,0.358
37.935,27.319,0.360
37.925,27.570,0.374
37.914,27.878,0.401
37.889,28.139,0.389
37.874,28.433,0.384
37.855,28.698,0.396
37.839,28.998,0.388
37.852,29.251,0.401
37.851,29.539,0.395
37.823,29.834,0.371
37.809,30.085,0.381
37.777,30.353,0.387
37.724,30.619,0.392
37.688,30.890,0.374
37.615,31.152,0.368
37.554,31.449,0.373
37.478,31.734,0.380
37.395,32.025,0.376
37.300,32.311,0.372
37.167,32.563,0.371
37.059,32.820,0.389
36.937,33.087,0.378
36.837,33.345,0.368
36.710,33.581,0.379
36.566,33.814,0.376
36.435,34.061,0.373
36.307,34.309,0.372
36.158,34.544,0.357
35.979,34.787,0.358
35.836,35.038,0.359
35.720,35.284,0.368
35.565,35.521,0.367
35.430,35.774,0.354
35.273,35.993,0.350
35.068,36.239,0.357
34.872,36.466,0.357
34.685,36.707,0.350
34.495,36.924,0.346
34.310,37.128,0.362
34.103,37.370,0.351
33.912,37.551,0.358
33.696,37.725,0.353
33.479,37.901,0.373
33.263,38.084,0.355
33.047,38.249,0.365
32.807,38.373,0.356
32.570,38.500,0.364
32.313,38.662,0.374
32.047,38.801,0.366
31.770,38.885,0.364
31.511,38.976,0.351
31.251,39.087,0.345
30.964,39.205,0.344
30.676,39.263,0.348
30.408,39.323,0.354
30.147,39.397,0.351
29.874,39.443,0.344
29.606,39.520,0.348
29.322,39.580,0.338
29.035,39.646,0.347
28.749,39.692,0.347
28.455,39.727,0.329
28.161,39.765,0.334
27.888,39.807,0.338
27.605,39.857,0.341
27.309,39.902,0.338
27.018,39.937,0.330
26.723,39.982,0.335
26.409,40.052,0.322
26.110,40.100,0.321
25.804,40.137,0.320
25.517,40.188,0.315
25.227,40.235,0.313
24.943,40.263,0.316
24.671,40.257,0.299
24.369,40.300,0.298
24.117,40.321,0.296
23.831,40.337,0.299
23.539,40.334,0.289
23.249,40.360,0.296
23.002,40.406,0.294
22.712,40.477,0.279
22.448,40.617,0.290
22.203,40.723,0.274
21.981,40.846,0.267
21.738,40.995,0.266
21.512,41.145,0.260
21.269,41.336,0.267
21.055,41.512,0.284
20.867,41.752,0.283
20.674,42.015,0.291
20.522,42.258,0.282
20.377,42.484,0.277
20.229,42.712,0.273
20.103,42.969,0.282
19.982,43.248,0.280
19.849,43.472,0.282
19.778,43.739,0.294
19.678,44.001,0.298
19.584,44.247,0.301
19.520,44.490,0.311
19.455,44.737,0.292
19.387,44.993,0.286
19.343,45.253,0.286
19.288,45.553,0.281
19.246,45.819,0.275
19.224,46.120,0.278
19.226,46.415,0.275
19.254,46.737,0.265
19.250,47.016,0.263
19.246,47.284,0.280
19.231,47.550,0.281
19.264,47.820,0.280
19.274,48.097,0.298
19.234,48.371,0.290
19.236,48.649,0.277
19.249,48.928,0.299
19.210,49.201,0.310
19.214,49.464,0.310
19.205,49.751,0.298
19.184,50.012,0.297
19.180,50.303,0.278
19.195,50.606,0.277
19.203,50.887,0.284
19.207,51.212,0.262
19.227,51.497,0.265
19.233,51.774,0.263
19.239,52.069,0.264
19.252,52.364,0.276
19.269,52.642,0.276
19.270,52.929,0.256
19.267,53.211,0.266
19.281,53.499,0.277
19.300,53.764,0.275
19.324,54.042,0.275
19.326,54.334,0.300
19.359,54.623,0.265
19.362,54.890,0.271
19.363,55.158,0.271
19.350,55.464,0.283
19.355,55.739,0.265
19.381,56.046,0.274
19.392,56.314,0.273
19.402,56.600,0.264
19.414,56.876,0.265
19.427,57.153,0.267
19.425,57.461,0.258
19.429,57.777,0.247
19.432,58.072,0.259
19.443,58.371,0.251
19.451,58.666,0.250
19.451,58.965,0.258
19.465,59.238,0.253
19.453,59.532,0.263
19.456,59.819,0.267
19.475,60.102,0.261
19.481,60.382,0.261
19.515,60.670,0.259
19.508,60.952,0.261
19.530,61.222,0.262
19.535,61.498,0.266
19.548,61.771,0.260
19.547,62.048,0.266
19.542,62.330,0.274
19.533,62.625,0.279
19.491,62.910,0.278
19.480,63.209,0.303
19.442,63.500,0.280
19.383,63.800,0.266
19.355,64.100,0.270
19.293,64.392,0.265
19.221,64.674,0.272
19.110,64.965,0.270
19.029,65.265,0.268
18.975,65.522,0.280
18.861,65.771,0.261
18.713,66.039,0.255
18.585,66.262,0.264
18.382,66.534,0.279
18.204,66.783,0.276
17.965,67.009,0.266
17.739,67.207,0.265
17.515,67.437,0.274
17.261,67.619,0.266
17.011,67.774,0.251
16.766,67.919,0.264
16.541,68.043,0.251
16.249,68.207,0.248
15.962,68.313,0.233
15.690,68.413,0.236
15.434,68.517,0.230
15.170,68.622,0.224
14.885,68.705,0.239
14.624,68.780,0.242
14.371,68.820,0.233
14.113,68.878,0.232
13.855,68.877,0.240
13.592,68.949,0.250
13.329,68.988,0.239
13.027,68.994,0.217
12.748,68.991,0.223
12.455,68.992,0.218
12.171,68.988,0.218
11.895,69.015,0.219
11.585,69.034,0.236
11.272,69.041,0.222
10.967,69.049,0.213
10.697,69.093,0.199
10.410,69.098,0.186
10.130,69.130,0.173
9.839,69.167,0.181
9.558,69.176,0.180
9.273,69.213,0.169
8.998,69.242,0.181
8.712,69.224,0.195
8.426,69.247,0.178
8.161,69.271,0.165
7.887,69.304,0.159
7.600,69.305,0.149
7.332,69.308,0.152
7.052,69.341,0.149
6.755,69.347,0.148
6.456,69.352,0.176
6.149,69.381,0.153
5.865,69.372,0.164
5.585,69.370,0.162
5.293,69.369,0.164
5.007,69.336,0.157
4.711,69.279,0.165
4.455,69.249,0.147
4.190,69.188,0.167
3.900,69.143,0.152
3.621,69.097,0.149
3.325,68.996,0.142
3.054,68.898,0.133
2.795,68.789,0.124
2.533,68.621,0.118
2.281,68.437,0.134
2.003,68.272,0.131
1.791,68.083,0.132
1.556,67.880,0.134
1.332,67.641,0.117
1.125,67.423,0.105
0.928,67.183,0.084
0.740,66.950,0.076
0.570,66.710,0.070
0.409,66.464,0.070
0.278,66.206,0.065
0.155,65.957,0.065
0.039,65.688,0.084
-0.063,65.404,0.072
-0.162,65.165,0.079
-0.259,64.931,0.054
-0.349,64.659,0.072
-0.444,64.386,0.089
-0.519,64.126,0.082
-0.593,63.841,0.077
-0.689,63.562,0.086
-0.716,63.274,0.068
-0.768,62.976,0.085
-0.796,62.681,0.091
-0.800,62.373,0.090
-0.789,62.115,0.086
-0.819,61.798,0.059
-0.851,61.495,0.046
-0.862,61.183,0.046
-0.874,60.902,0.060
-0.889,60.615,0.058
-0.898,60.329,0.056
-0.901,60.031,0.053
-0.931,59.726,0.071
-0.943,59.426,0.081
-0.944,59.110,0.059
-0.947,58.788,0.083
-0.957,58.490,0.077
-0.963,58.207,0.074
-0.940,57.927,0.086
-0.943,57.670,0.086
-0.952,57.417,0.080
-0.931,57.124,0.069
-0.907,56.811,0.072
-0.893,56.522,0.067
-0.881,56.234,0.069
-0.866,55.921,0.074
-0.854,55.605,0.075
-0.863,55.332,0.093
-0.851,55.011,0.092
-0.858,54.754,0.089
-0.861,54.500,0.091
-0.850,54.198,0.077
-0.867,53.914,0.080
-0.905,53.633,0.074
-0.935,53.362,0.086
-0.945,53.093,0.084
-0.952,52.797,0.076
-0.991,52.512,0.070
-1.009,52.202,0.063
-1.024,51.905,0.073
-1.024,51.595,0.068
-1.062,51.300,0.071
-1.067,51.027,0.069
-1.106,50.756,0.063
-1.131,50.476,0.063
-1.134,50.180,0.052
-1.152,49.895,0.060
-1.174,49.625,0.066
-1.183,49.324,0.061
-1.190,49.039,0.068
-1.184,48.747,0.077
-1.214,48.434,0.067
-1.222,48.155,0.053
-1.218,47.903,0.059
-1.242,47.628,0.067
-1.252,47.360,0.051
-1.241,47.085,0.061
-1.223,46.786,0.059
-1.234,46.519,0.044
-1.234,46.256,0.056
-1.227,45.958,0.057
-1.245,45.662,0.049
-1.264,45.396,0.064
-1.294,45.107,0.063
-1.300,44.802,0.053
-1.332,44.509,0.058
-1.345,44.237,0.081
-1.351,43.946,0.050
-1.397,43.652,0.045
-1.400,43.372,0.032
-1.448,43.088,0.027
-1.451,42.791,0.018
-1.470,42.515,0.032
-1.456,42.226,0.017
-1.487,41.931,0.015
-1.491,41.663,0.010
-1.498,41.369,0.038
-1.531,41.062,0.012
-1.569,40.747,0.024
-1.589,40.465,0.044
-1.612,40.179,0.039
-1.604,39.913,0.036
-1.605,39.642,0.026
-1.622,39.389,0.027
-1.614,39.124,0.025
-1.616,38.852,0.031
-1.616,38.596,0.035
-1.626,38.328,0.022
-1.641,38.054,0.019
-1.637,37.755,0.018
-1.632,37.499,0.022
-1.608,37.237,0.013
-1.613,36.967,0.002
-1.620,36.684,0.016
-1.605,36.394,0.024
-1.594,36.100,0.018
-1.589,35.816,0.015
-1.591,35.504,0.026
-1.587,35.223,0.019
-1.617,34.919,0.033
-1.599,34.614,0.039
-1.612,34.297,0.041
-1.637,34.044,0.035
-1.639,33.759,0.030
-1.614,33.486,0.019
-1.626,33.213,0.024
-1.649,32.923,0.022
-1.707,32.599,0.016
-1.722,32.339,0.035
-1.687,32.025,0.023
-1.639,31.734,0.004
-1.647,31.452,0.011
-1.660,31.133,0.026
-1.631,30.871,-0.002
-1.625,30.603,-0.002
-1.640,30.326,-0.002
-1.679,30.053,0.028
